common name,red list status
french spaniel,not endangered
picardy sheepdog,not endangered
ariege pointing dog,not endangered
giant schnauzer,not endangered
schnauzer,not endangered
miniature schnauzer,not endangered
german pinscher,not endangered
miniature pinscher,not endangered
affenpinscher,not endangered
sloughi,not endangered
finnish lapponian dog,not endangered
hovawart,not endangered
bouvier des flandres,not endangered
kromfohrländer,not endangered
borzoi - russian hunting sighthound,not endangered
bergamasco shepherd dog,not endangered
italian volpino,not endangered
bolognese,not endangered
neapolitan mastiff,not endangered
italian rough-haired segugio,not endangered
cirneco dell'etna,not endangered
italian sighthound,not endangered
maremma and the abruzzes sheepdog,not endangered
norwegian hound,endangered
canadian eskimo dog,endangered
samoyed,not endangered
hanoverian scent hound,not endangered
hellenic hound,not endangered
bichon frise,not endangered
chihuahua,not endangered
bavarian mountain scent hound,not endangered
chihuahua,not endangered
french tricolour hound,not endangered
french white & black hound,not endangered
frisian water dog,endangered
stabijhoun,not endangered
drentsche partridge dog,not endangered
fila brasileiro,not endangered
landseer (european continental type),not endangered
lhasa apso,not endangered
afghan hound,not endangered
tibetan mastiff,not endangered
tibetan spaniel,not endangered
little lion dog,not endangered
xoloitzcuintle,endangered
great dane,not endangered
australian silky terrier,not endangered
norwegian buhund,endangered
mudi,not endangered
hungarian wire-haired pointer,not endangered
hungarian greyhound,not endangered
hungarian hound - transylvanian scent hound,endangered
norwegian elkhound grey,endangered
alaskan malamute,not endangered
slovakian hound,not endangered
bohemian wire-haired pointing griffon,not endangered
cesky terrier,not endangered
atlas mountain dog (aidi),not endangered
pharaoh hound,endangered
majorca mastiff,not endangered
havanese,not endangered
polish lowland sheepdog,not endangered
tatra shepherd dog,not endangered
alpine dachsbracke,not endangered
akita,not endangered
shiba,endangered
japanese terrier,not endangered
hokkaido,not endangered
japanese spitz,not endangered
chesapeake bay retriever,not endangered
mastiff,endangered
norwegian lundehund,endangered
hygen hound,endangered
saluki,not endangered
siberian husky,not endangered
bearded collie,not endangered
norfolk terrier,not endangered
greenland dog,endangered
norrbottenspitz,not endangered
montenegrin mountain hound,endangered
chinook,endangered
irish red and white setter,endangered
redbone coonhound,not endangered
beauceron,not endangered
beauceron,not endangered
 the tazi or taji,endangered
the kaikadi dog,endangered
the jonangi,endangered
the soriala greyhound or bengal hound,endangered
the himalayan mastiff,endangered
the alangu mastiff,endangered
the dhole or asiatic/indian wild dogs,endangered
the kashmiri sheepdog,endangered
the chippiparia or shippiparia dog,endangered
the dhangri or maharashtrian shepherd dog,endangered
the soneri kutta,endangered
bergamasco sheepdog,endangered
